time,ZEC,XRP,XMR,NEO,LTC,ETH,ETC,DASH,BTC,BCH
2017-12-12,354.23,0.2839,287.63,37.02,325.73,583.28,28.61,862.88,17487.37,1538.32
2017-12-11,316.05,0.2451,274.28,35.6,214.54,513.29,26.64,755.55,16732.47,1402.18
2017-12-10,283.89,0.2271,238.23,32.78,147.84,436.49,25.27,669.63,15059.6,1289.78
2017-12-09,308.05,0.2353,256.31,35.12,155.98,472.86,27.51,707.95,14843.42,1369.36
2017-12-08,319.03,0.2337,261.96,35.24,125.24,451.74,27.58,700.25,16047.61,1383.3
2017-12-07,292.29,0.2035,256.73,34.02,96.0,421.15,23.32,660.26,16850.31,1230.0
2017-12-06,314.75,0.2182,254.94,34.79,98.97,422.48,24.95,667.35,13749.57,1349.75
2017-12-05,320.89,0.2337,246.38,38.43,100.49,453.96,28.01,731.29,11667.13,1421.42
2017-12-04,326.92,0.2462,208.12,41.84,103.87,466.93,29.25,764.64,11623.91,1540.7
2017-12-03,318.68,0.2449,196.33,36.61,100.7,462.81,28.93,759.93,11246.21,1511.46
2017-12-02,325.7,0.2441,199.79,35.03,99.32,457.96,28.89,764.95,10912.73,1390.58
2017-12-01,330.71,0.2473,187.81,35.83,99.15,461.58,29.64,781.52,10861.47,1426.5
2017-11-30,301.87,0.2356,175.18,32.67,85.94,434.85,26.1,758.71,9946.76,1318.42
2017-11-29,302.09,0.2353,167.71,32.27,85.41,427.42,24.28,667.55,9837.86,1333.15
2017-11-28,361.1,0.2795,196.36,37.86,94.22,466.27,31.42,609.83,9906.04,1481.93
2017-11-27,344.77,0.247,172.29,40.15,90.99,475.24,24.69,623.72,9733.2,1587.66
2017-11-26,336.43,0.245,162.11,38.01,86.24,470.54,21.64,616.45,9318.42,1719.36
2017-11-25,343.32,0.2488,167.76,38.03,88.79,464.61,21.31,636.12,8754.69,1546.22
2017-11-24,348.83,0.241,158.44,34.76,77.54,470.43,21.01,560.92,8200.8,1625.05
2017-11-23,309.63,0.24,157.78,34.67,72.94,406.57,17.98,561.55,8013.41,1662.21
2017-11-22,318.26,0.2385,165.73,36.01,72.03,380.84,17.98,573.66,8234.55,1298.62
2017-11-21,289.52,0.2318,141.84,34.37,69.91,360.52,17.66,491.66,8099.97,1169.9
2017-11-20,303.86,0.2406,136.17,35.52,72.38,367.71,18.48,485.96,8244.69,1245.28
2017-11-19,299.66,0.2321,129.73,40.0,71.76,354.6,17.97,442.39,8042.64,1176.66
2017-11-18,297.24,0.2275,130.59,42.93,69.42,346.65,17.62,453.55,7780.91,1243.86
2017-11-17,290.31,0.2239,126.18,40.2,67.36,331.72,17.1,423.94,7699.95,1175.54
2017-11-16,295.23,0.2269,120.26,28.74,70.7,330.32,16.84,419.44,7853.68,896.51
2017-11-15,287.59,0.2083,120.67,29.23,63.16,331.2,17.14,420.68,7283.22,1187.03
2017-11-14,269.15,0.205,121.28,29.59,62.13,334.72,17.37,420.93,6597.06,1251.63
2017-11-13,263.17,0.2001,121.85,28.22,61.0,314.6,15.85,421.66,6522.45,1346.96
2017-11-12,280.93,0.1915,122.96,26.82,58.54,306.02,14.67,487.14,5878.13,1374.39
2017-11-11,252.61,0.2092,118.84,28.39,62.14,314.23,19.19,343.43,6339.86,1325.56
2017-11-10,235.85,0.2033,104.48,27.97,58.99,296.86,14.39,325.89,6565.8,995.4
2017-11-09,260.77,0.2154,119.84,31.89,64.15,319.66,14.04,325.37,7129.59,650.09
2017-11-08,249.71,0.2167,112.88,30.1,62.38,307.35,13.9,313.2,7444.36,617.41
2017-11-07,238.48,0.2055,98.45,26.15,60.52,291.84,13.52,288.95,7102.75,603.26
2017-11-06,227.2,0.2013,101.0,26.23,54.5,296.82,13.84,273.87,6959.23,588.68
2017-11-05,224.97,0.1997,86.19,26.24,54.6,296.23,13.1,272.22,7389.55,625.72
2017-11-04,229.84,0.2015,87.12,26.44,54.83,300.04,11.77,273.45,7363.8,614.26
2017-11-03,231.16,0.2059,87.44,26.67,55.98,304.51,12.49,276.79,7152.12,626.04
2017-11-02,216.68,0.2003,83.08,24.62,54.19,284.92,10.03,263.22,7024.81,562.79
2017-11-01,221.21,0.1903,85.41,26.87,52.83,289.42,10.11,269.64,6737.78,529.88
2017-10-31,232.12,0.1975,87.31,28.39,55.5,303.64,10.52,277.23,6451.24,435.48
2017-10-30,239.75,0.2024,88.62,28.79,56.22,306.8,10.8,284.93,6124.28,444.93
2017-10-29,233.16,0.2015,88.59,27.77,56.75,304.04,10.83,282.92,6147.52,451.91
2017-10-28,228.86,0.1982,85.73,27.34,54.22,293.35,10.38,273.53,5726.61,417.22
2017-10-27,243.53,0.2001,86.35,28.88,55.02,296.36,10.28,280.56,5764.56,363.84
2017-10-26,233.33,0.2019,88.37,28.33,55.55,295.54,10.35,284.86,5887.61,335.68
2017-10-25,216.3,0.2023,87.08,28.62,56.19,296.35,10.47,286.19,5734.0,329.47
2017-10-24,214.86,0.2038,88.03,29.95,55.56,296.5,10.44,291.0,5513.08,322.28
2017-10-23,204.88,0.1917,85.17,27.82,54.63,285.27,10.05,279.39,5903.61,312.05
2017-10-22,213.08,0.2014,86.51,28.92,56.51,294.03,10.67,273.86,5982.86,325.88
2017-10-21,211.8,0.2097,88.04,27.12,58.09,299.55,10.84,276.66,6006.65,322.12
2017-10-20,221.36,0.2082,90.35,27.78,60.09,303.08,11.12,287.54,5993.11,326.03
2017-10-19,230.08,0.2139,88.39,28.81,59.68,307.41,11.29,293.7,5698.65,329.66
2017-10-18,228.41,0.217,89.22,29.66,60.55,313.54,11.45,296.19,5575.83,338.72
2017-10-17,229.99,0.2295,90.98,31.36,59.19,316.14,11.86,299.48,5598.58,367.84
2017-10-16,233.25,0.2579,95.81,28.61,64.76,334.23,11.93,302.16,5759.33,313.94
2017-10-15,232.29,0.2652,94.92,27.87,65.57,336.58,11.96,308.89,5688.14,314.1
2017-10-14,239.66,0.2556,99.99,27.69,63.94,338.81,12.19,316.35,5824.71,321.67
2017-10-13,238.93,0.2602,94.82,29.34,59.05,336.83,12.05,308.82,5637.26,320.11
2017-10-12,226.92,0.2464,86.91,28.23,59.72,302.89,11.73,290.81,5432.62,310.56
